time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008700941;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.98731;-0.875607;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.878569;-0.096821;6.552422;-0.825269
1471008700951;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;1;1.0;6.98731;-0.875607;0.294508;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.876501;-0.206796;6.546519;-0.832709
1471008700961;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.874565;-0.193644;6.54839;-0.830419
1471008700971;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.873604;-0.096122;6.550264;-0.828133
1471008700982;0.011;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.87177;-0.166706;6.552329;-0.82562
1471008700991;0.009;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.870853;-0.101826;6.554022;-0.823567
1471008701001;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.869114;-0.173978;6.555905;-0.821288
1471008701012;0.011;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.867479;-0.148589;6.557982;-0.818785
1471008701021;0.009;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.006099;-0.852927;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.866669;-0.090056;6.559684;-0.81674
1471008701031;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.865011;-0.165756;6.561577;-0.814469
